sku,brand,name,short_description,description,rrp,price
FD4T0660C-NR,BROMIC,BROMIC FD4T0660C-NR,4 tier chilled food/cake display 660mm-FD4T0660C-NR,"FD4T0660C-NR Bromic 4 Tier 660mm Cold Food Display

This stylish FD4T0660C 660mm Cold Food Display from Bromic is perfect for displaying chilled foods such as cheese, cakes, and confectioneries.  

DIMENSIONS: 660mm W x 740 D x 1360 H

VOLUME: 300L 

FEATURES: 

Temperature range: +2 to +6°C
Ambient Temperature: 32°C
3 adjustable shelves plus base maximise the product display area
Soft-cool refrigeration technology for prolonged product freshness
Invisible heat elements & an internal air curtain eliminates condensation
Self-closing hinged rear door allows easy access and minimises temperature loss
High impact LED internal lighting for perfect product presentation
Removable shelf inserts for easy cleaning
Temp. Controller Type: Digital
Refrigerant: R290
Colour: S/Steel
Toughened safety glass for superior durability
Castors make movement, placement & cleaning easy
Corrosion-resistant construction ensures longevity
Fully compliant with Australian safety standards and regulations
Temp. Controller Type: Digital
Castors: Yes
Door Movement: Hinged
2 Years Bromic Extra Care Warranty - Parts and Labour","4,850.00","3,938.20"
FD4T0900C-NR,BROMIC,BROMIC FD4T0900C-NR,4 tier chilled food/cake display 900mm-FD4T0900C-NR,"FD4T0900C-NR Bromic 4 Tier 900mm Cold Food Display

The FD4T0900C 900mm Cold Food Display from Bromic is perfect for displaying chilled foods such as cheese, cakes, and confectioneries. 

Dimensions: 900mm W x 740 D x 1360 H

Volume: 417L

Features:

Temperature range: -+2 to +6°C
Ambient Temperature: 32°C
3 adjustable shelves plus base maximise the product display area
Soft-cool refrigeration technology for prolonged product freshness
Invisible heat elements & an internal air curtain eliminates condensation
Self-closing sliding rear door allows easy access and minimises temperature loss
High impact LED internal lighting for perfect product presentation
Removable shelf inserts for easy cleaning
Toughened safety glass for superior durability
Castors make movement, placement & cleaning easy
Corrosion-resistant construction ensures longevity
Fully compliant with Australian safety standards and regulations
Temp. Controller Type: Digital
Refrigerant: R404a
Castors: Yes
Door Movement: Sliding
2 Years Bromic Extra Care Warranty - Parts and Labour","5,000.00","4,060.00"
FD4T1200C-NR,BROMIC,BROMIC FD4T1200C-NR,4 tier chilled food/cake display 1200mm-FD4T1200C-NR,"FEATURES:
Temperature range: +1°c ~ +5°C
Ambient Temperature: 32°C
3 adjustable shelves plus base maximise the product display area
Heated front, top and side glass to prevent condensation
Soft-cool refrigeration technology for prolonged product freshness
Invisible heat elements & an internal air curtain eliminates condensation
Heated hinged rear door allows easy access and minimises temperature loss
High impact LED internal lighting for perfect product presentation
R290 natural refrigerant
Removable shelf inserts for easy cleaning
Toughened safety glass for superior durability
Castors make movement, placement & cleaning easy
Corrosion-resistant construction ensures longevity
Fully compliant with Australian safety standards and regulations
2 Years Bromic Extra Care Warranty – Labour and Parts","5,600.00","4,547.20"
FD4T1500C-NR,BROMIC,BROMIC FD4T1500C-NR,4 tier chilled food/cake display 1500mm-FD4T1500C-NR,"Cold Food Display Features and Specifications:

No. of Shelves Including Base Per Door   4
Colour   S/Steel
Refrigeration Power (W)              1000
Temp. Range (°C)            +2 to +6
Capacity (Litres)              542
Max. Ambient Temp. (°C / RH)    32
Temp. Controller Type   Digital
Refrigerant         R404a
Castors Yes
Dimensions: D (mm)  740,  H (mm)  1360, W (mm)  1500
Door Movement              Sliding
No. of Doors/Lids            2
2 Year Warranty","6,400.00","5,196.80"
FD4T1800C-NR,BROMIC,BROMIC FD4T1800C-NR,4 tier chilled food/cake display 1800mm-FD4T1800C-NR,"Cold Food Display Features and Specifications:

Gross Weight (kg)           344
No. of Shelves Including Base Per Door   4
Colour   S/Steel
Refrigeration Power (W)              1360
Temp. Range (°C)            +2 to +6
Capacity (Litres)              830
Max. Ambient Temp. (°C / RH)    32
Temp. Controller Type   Digital
Refrigerant         R290
Castors Yes
Dimensions: D (mm) 740, H (mm) 1360, W (mm) 1800
Door Movement              Sliding
No. of Doors/Lids            2
2 Year Warranty","7,400.00","6,008.80"
FD4T0900A,BROMIC,BROMIC FD4T0900A,4 tier ambient food display 900mm - FD4T0900A,"Product Description:
Matching Ambient, Hot & Cold cabinets
4 Tiers
3 removable shelves
Adjustable shelves
3 positions: Flat, 5° or 10° slant
Toughened safety glass creates a durable display
High-impact LED lighting on each shelf
3M1 rated cabinet
MEPS high efficiency rated unit
Meets kiosk height restriction standards
Magnetic covers & filters
Easy cleaning & maintenance
Corrosion-resistant construction
Durable stainless steel body
Bromic extra care warranty
Self-closing sliding rear door
Allows easy access and maintains temperature
Capacity: 417 Litres
Warranty: 12 months Parts and Labour
Dimensions: 900 x 740 x 1360mm[h]
Weight: 142 Kg","3,800.00","3,085.60"
FD4T1200A,BROMIC,BROMIC FD4T1200A,4 tier ambient food display 1200mm - FD4T1200A,"Product Description:
Matching Ambient, Hot & Cold cabinets
4 Tiers
3 removable shelves
Adjustable shelves
3 positions: Flat, 5° or 10° slant
Toughened safety glass creates a durable display
High-impact LED lighting on each shelf
3M1 rated cabinet
MEPS high efficiency rated unit
Meets kiosk height restriction standards
Magnetic covers & filters
Easy cleaning & maintenance
Corrosion-resistant construction
Durable stainless steel body
Bromic extra care warranty
Self-closing sliding rear door
Allows easy access and maintains temperature
Capacity: 542 Litres
Warranty: 12 months Parts and Labour
Dimensions: 1200 x 740 x 1360mm[h]
Weight: 174 Kg","4,500.00","3,654.00"
FD4T1500A,BROMIC,BROMIC FD4T1500A,4 tier ambient food display 1500mm - FD4T1500A,"Product Description:
Matching Ambient, Hot & Cold cabinets
4 Tiers
3 removable shelves
Adjustable shelves
3 positions: Flat, 5° or 10° slant
Toughened safety glass creates a durable display
High-impact LED lighting on each shelf
3M1 rated cabinet
MEPS high efficiency rated unit
Meets kiosk height restriction standards
Magnetic covers & filters
Easy cleaning & maintenance
Corrosion-resistant construction
Durable stainless steel body
Bromic extra care warranty
Self-closing sliding rear door
Allows easy access and maintains temperature
Capacity: 686 Litres
Warranty: 12 months Parts and Labour
Dimensions: 1500 x 740 x 1360mm[h]
Weight: 206 Kg","5,200.00","4,222.40"
FD4T1800A,BROMIC,BROMIC FD4T1800A,4 tier ambient food display 1800mm -FD4T1800A,"Product Description:
Matching Ambient, Hot & Cold cabinets
4 Tiers
3 removable shelves
Adjustable shelves
3 positions: Flat, 5° or 10° slant
Toughened safety glass creates a durable display
High-impact LED lighting on each shelf
3M1 rated cabinet
MEPS high efficiency rated unit
Meets kiosk height restriction standards
Magnetic covers & filters
Easy cleaning & maintenance
Corrosion-resistant construction
Durable stainless steel body
Bromic extra care warranty
Self-closing sliding rear door
Allows easy access and maintains temperature
Capacity: 830 Litres
Warranty: 12 months Parts and Labour
Dimensions: 1800 x 740 x 1360mm[h]
Weight: 238 Kg","5,600.00","4,547.20"
IM0032SSC,BROMIC,BROMIC IM0032SSC,Ice Machine IM0032SSC S/Cube 31kg/24hr 17kg Cap,"• Large solid ice cubes that cool quickly and maximise liquid displacement
• Low power and water consumption
• 3 Year parts warranty
• Stainless steel internal and external construction for corrosion resistance and simple cleaning
Specifications:
• Maximum daily production kg/24hr*: 31kg
• Storage bin capacity: 17kg
• Dimensions (mm) Without legs: 485w x 575d x 721h
• Max. ambient temp (°C): 40°C
• Power consumption (watts): 340W
• Refrigerant: R134a
• Colour: Stainless steel
• Power usage*: 7.5KWh/24hr
• Water Consumption: 3.75L/h
• Plug supplied: Yes
*Production/Power usage based on 10°C ambient temp and 10°C water temp","3,600.00","2,505.60"
IM0043SSC,BROMIC,BROMIC IM0043SSC,Ice Machine IM0043SSC S/Cube 37kg/24hr 20kg Cap,"Product Description:
Production 37kg/24 hours
Large solid ice cubes that cool quickly
Integrated storage bin
Storage bin capacity: 20 kg
Stainless steel construction resists corrosion
Cube shape: solid cube
Retractable door
Low power and water consumption
Reliable operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 530 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 485 x 575 x 816mm[h]
Weight: 52kg
For best results we recommend a water filter be used","4,300.00","2,992.80"
IM0065SSC,BROMIC,BROMIC IM0065SSC,Ice Machine IM0065SSC S/Cube 59kg/24hr 30kg Cap,"Product Description:
Production 59kg/24 hours
Large solid ice cubes that cool quickly
Integrated storage bin
Storage bin capacity: 33 kg
Stainless steel construction resists corrosion
Cube shape: solid cube
Retractable door
Low power and water consumption
Reliable operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp;650 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 670 x 595 x 892mm[h]
Weight: 74kg
For best results we recommend a water filter be used","5,800.00","4,036.80"
IM0113SSC,BROMIC,BROMIC IM0113SSC,Ice Machine IM0113SSC S/Cube 115kg/24hr 50kg Cap,"The IM0113SSC Ice Machine provides premium solid ice cubes that are great for beverage-focused applications. It can make large, crystal clear ice cubes that maximise liquid displacement while cooling quickly.
With a 115kg maximum daily ice production and 50kg internal ice storage capacity, the IM01135SSC Ice Machine is the essential workhorse every food service business must have. Its sleek, compact design allows for space maximisation. Also, its retractable door minimises protrusion in tight spaces whilst allowing easy access. This self-contained unit may be placed underneath or above counters.
Moreover, the IM0113SSC ice maker is built with durable stainless steel parts and hygienic materials treated with antimicrobial technology. Best of all, the machine is very simple to operate with an electric PCB controller.
• Large solid ice cubes that cool quickly and maximise liquid displacement
• Stainless steel construction resists corrosion
• Low power and water consumption
• Agion-treated materials maintain hygiene with
antimicrobial technology
• Self contained unit
• Removable legs
• Efficient production
• Three-year parts warranty
• Maximum Daily Production kg/24hr*: 115kg
• Storage Bin Capacity: 50kg
• Dimensions (mm) Without Legs: 1042w x 575d x 892h
• Legs (mm): 89mm
• Max. ambient temp (C): 40C
• Power Consumption (Watts): 1750W
• Gross weight (kg): 97kg
• Refrigerant: R134a
• Colour: Stainless Steel
• Power Usage*: 24KWh/24hr
• Water Consumption: 20.8/hr
• Plug supplied: Yes
* Production/Power usage based on 10C ambient temp and 10C water temp","8,000.00","5,568.00"
IM0018HSC-HE,BROMIC,BROMIC IM0018HSC-HE,Ice Machine IM0018HSC-HE H/Cube 18kg/24hr 4kg Cap,"• Hollow, crystal-clear ice presents the best general-purpose option
• Fast-melting cubes maximise surface area for rapid cooling
• Stainless steel construction resists corrosion
• Low power and water consumption
• Self Contained Ice Machine
• Ice Type Hollow
• Ice Production 17.5kg/24Hr
• Internal Ice Storage Capacity 4kg
• Max. Ambient Temp. (C / RH)40C
• Power 280W
• Refrigerant R134a
• Removable Legs 2mm
• Dimensions (mm): 552H x 457D x 334W
• Weight (kg): 28
• Warranty: 3 year parts; 1 year labour","2,300.00","1,600.80"
IM0024HSC-HE,BROMIC,BROMIC IM0024HSC-HE,Ice Machine IM0024HSC-HE H/Cube 24kg/24hr 6kg Cap,"Product Description:
Production 24kg/24 hours
Hollow, crystal-clear ice
Storage bin capacity: 6 kg
Fast-melting cubes maximise surface area for rapid cooling
Stainless steel construction resists corrosion
Retractable door
Low power and water consumption
Reliable operation
Electric PCB controller enables smart yet simple operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Ice Cube Size: 36 x 36 x 35mm
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 310 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 334 x 457 x 597mm[h]
Weight: 28kg
For best results we recommend a water filter be used","2,550.00","1,774.80"
IM0034HSC-HE,BROMIC,BROMIC IM0034HSC-HE,Ice Machine IM0034HSC-HE H/Cube 32kg/24hr 10kg Cap,"Production 32kg/24 hours
Hollow, crystal-clear ice
Storage bin capacity: 10 kg
Stainless steel construction resists corrosion
Fast-melting cubes maximise surface area for rapid cooling
Retractable door
Low power and water consumption
Reliable operation
Electric PCB controller enables smart yet simple operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Ice Cube Size: 36 x 36 x 35mm
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 360 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 377 x 555 x 637mm[h]
Weight: 40kg","3,400.00","2,366.40"
IM0050HSC-HE,BROMIC,BROMIC IM0050HSC-HE,Ice Machine IM0050HSC-HE H/Cube 47kg/24hr 17kg Cap,"Product Description:
Production 47kg/24 hours
Hollow, crystal-clear ice
Storage bin capacity: 17 kg
Stainless steel construction resists corrosion
Fast-melting cubes maximise surface area for rapid cooling
Retractable door
Low power and water consumption
Reliable operation
Electric PCB controller enables smart yet simple operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Ice Cube Size: 36 x 36 x 35mm
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 430 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 485 x 575 x 721mm[h]
Weight: 45kg
For best results we recommend a water filter be used","4,000.00","2,784.00"
IM0064HSC-HE,BROMIC,BROMIC IM0064HSC-HE,Ice Machine IM0064HSC-HE H/Cube 63kg/24hr 20kg Cap,"Product Description:
Production 63kg/24 hours
Hollow, crystal-clear ice
Storage bin capacity: 20 kg
Stainless steel construction resists corrosion
Fast-melting cubes maximise surface area for rapid cooling
Retractable door
Low power and water consumption
Reliable operation
Electric PCB controller enables smart yet simple operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Ice Cube Size: 36 x 36 x 35mm
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 580 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 485 x 575 x 816mm[h]
Weight: 48kg
For best results we recommend a water filter be used","4,700.00","3,271.20"
IM0084HSC-HE,BROMIC,BROMIC IM0084HSC-HE,Ice Machine IM0084HSC-HE H/Cube 82kg/24hr 30kg Cap,"Product Description:
Production 82kg/24 hours
Hollow, crystal-clear ice
Storage bin capacity: 30 kg
Stainless steel construction resists corrosion
Large surface area cubes result in rapid cooling
Retractable door
Low power and water consumption
Reliable operation
Electric PCB controller enables smart yet simple operation
Licensed refrigeration technician req'd
Heavy duty output
Highly-reliable, Italian-made machine
Agion®-treated materials maintain hygiene
Ice Cube Size: 36 x 36 x 35mm
Easy to access ice
Efficient production
Production based on 10°C ambient & 10°C water temp
Self contained unit
Max Ambient temp: 40°C
Power 10 amp; 620 Watts
WARRANTY: 3 years Parts & 1 year Labour
Dimensions: 670 x 595 x 892mm[h]
Weight: 63kg
For best results we recommend a water filter be used","5,650.00","3,932.40"
IM0170HSC-HE,BROMIC,BROMIC IM0170HSC-HE,Ice Machine IM0170HSC-HE H/Cube 171kg/24hr 50kg Ca,"BromicsIM0170HSC-HE Self-Contained 165kg Ice Machine presents the perfect solution for high-volume venues with diverse ice requirements. Quickly creating lightweight cubes that maximise surface area for rapid cooling, this self-contained unit excels underneath or above counters.

Hollow, crystal-clear ice presents the best general-purpose option
Stainless steel construction resists corrosion
Low power and water consumption
Large surface area cubes result in rapid cooling
3 Year parts warranty
1 Year labour warranty","8,600.00","5,985.60"
IM0120FM,BROMIC,BROMIC IM0120FM,Ice Machine IM0120FM Mod Flaker 120kg/24hr SIMAG,"Bromic IM0120FM Modular 120Kg/24hrs Flake Ice Machine
Ice Type: Flake
Ice Machine Unit: Head Only
Storage Bin Capacity: N/A
Maximum Daily Production: 120kg
Power Input: 500W
Energy Consumption: 10Kwh/24h
Water Consumption: 4.6L/h
Colour: Stainless Steel
Max Ambient Temp. : 40°C / RH
Refrigerant: R134a","7,600.00","5,289.60"
IM0200FM,BROMIC,BROMIC IM0200FM,Ice Machine IM0200FM Mod Flaker 200kg/24hr SIMAG,"Bromic IM0200FM Modular 200Kg/24hrs Flake Ice Machine
Ice Type: Flake
Ice Machine Unit: Head Only
Storage Bin Capacity: N/A
Maximum Daily Production: 200kg
Power Input: 700W
Energy Consumption: 16Kwh/24h
Water Consumption: 6.5L/h
Colour: Stainless Steel
Max Ambient Temp. : 40°C / RH
Refrigerant: R404a","8,500.00","5,916.00"
IM0320FM,BROMIC,BROMIC IM0320FM,Ice Machine IM0320FM Mod Flaker 320kg/24hr SIMAG,"Bromic IM0320FM Modular 320Kg/24hrs Flake Ice Machine 
Ice Type: Flake
Ice Machine Unit: Head Only
Storage Bin Capacity: N/A
Maximum Daily Production: 320kg
Power Input: 1200W
Energy Consumption: 26Kwh/24h
Water Consumption: 10L/h
Colour: Stainless Steel
Max Ambient Temp. : 40°C / RH
Refrigerant: R404a","13,000.00","9,048.00"
IM0600FM ,BROMIC,BROMIC IM0600FM,Ice Machine IM0600FM Mod Flaker 600kg/24hr SIMAG,"Bromic Modular Ice Flaker Head 600Kg/24Hr

Large production in small space
Reliable operation and easy installation
Electronic control card - Infrared rays stop machine when deposit is full
Heavy duty machine
Hygienic and clean
Easy access to flakes
Efficient production
Maximum performance
Stainless steel construction
Air Cooled


Specifications:

Max daily Production kg/24hr*: 600kg
Storage Bin Capacity (kg): Refer to product brochure
Dimensions (mm): 536w x 660d x 847h
Maximum: ambient temp (°C): 40°C
Refrigeration Power (Watts): 1800W
Gross weight (kg): 88kg
Refrigerant: R404a
Material & Colour: Stainless Steel
Power Usage*: 43kW/24hr
Plug supplied: Yes 10A","16,000.00","11,136.00"
IM1150FM,BROMIC,BROMIC IM1150FM,Ice Machine IM1150FM Mod Flaker 1150kg/24hr SIMAG,"Features & Benefits:

Large production in a small space
Reliable operation and easy installation
Electronic control card. Infared rays stop machine when deposit is full
Heavy duty machine
Hygienic and clean
Easy access to flakes
Efficient production
Maximum performance
Stainless steel construction
Air cooled",POA,POA
IM0160HDM,BROMIC,BROMIC IM0160HDM,Ice Machine IM0160HDM Mod H/Dice 160kg/24hr SIMAG,"Bromics Modular 160kg Half-Dice Ice Machine is suited to high-volume applications where crystal-clear, general-purpose ice is required in bulk. Rapidly producing large slabs of slow-melting half-dice ice, this heavy-duty unit can comfortably keep up in peak-periods or produce a surplus to be sold on the side.
• Economical half-dice ice suits blending and general purpose use
• Hard, pure ice thats ready for consumption and cooling alike
• Suitable Storage Bins: SB129, SB178 and SB243
• 3 Year parts warranty
• 1 Year labour warranty
• Stainless steel colour
• Ice Machine Unit: Head only
• Max. Ambient Temp. (C / RH): 40C
• Ice production: 160kg/24hrs
• Energy Consumption: 15.9kwh/24hr
• Water Consumption: 1.47L/Kg
• R404a refrigerant
• Storage Bin Compatibility: SB129, SB178, SB243
*Production/Power usage based on 10C ambient temp and 10C water temp","6,600.00","4,593.60"
IM0250HDM,BROMIC,BROMIC IM0250HDM,Ice Machine IM0250HDM Mod H/Dice 250kg/24hr SIMAG,"Bromic IM0250HDM Modular 250kg Half-Dice Ice Machine

Economical half-dice ice suits blending and general purpose use
Hard, pure ice that’s ready for consumption and cooling alike
Suitable Storage Bins: SB129, SB178 and SB453
1 Year labour warranty
Gross Weight (kg): 65
Colour: S/Steel
Warranty (mths): 12
Ice Type: ½ Dice
Ice Cube Size (mm): 29(H) x 23 (W) x 10(D)
Max. Ambient Temp. (°C / RH): 40
Ice Production (kg/24hrs): 250
Refrigeration Power (W): 1200
Refrigerant: R404a
Water Consumption (L/h): 1.4
Height (mm): 609
Depth (mm): 610
Width (mm): 558","7,400.00","5,150.40"
IM0320HDM,BROMIC,BROMIC IM0320HDM,Ice Machine IM0320HDM Mod H/Dice 320kg/24hr SIMAG,"Bromics Modular 320kg Half-Dice Ice Machine is suited to high-volume applications where crystal-clear, general-purpose ice is required in bulk. Rapidly producing large slabs of slow-melting half-dice ice, this heavy-duty unit can comfortably keep up in peak-periods or produce a surplus to be sold on the side.
• Economical half-dice ice suits blending and general purpose use
• Hard, pure ice thats ready for consumption and cooling alike
• Suitable Storage Bins: SB178, SB243 and SB406
• 3 Year parts warranty
• 1 Year labour warranty
• Stainless steel colour
• Ice Machine Unit: Head only
• Max. Ambient Temp. (C / RH): 40C
• Ice production: 320kg/24hrs
• Energy Consumption: 16.3kwh/24hr
• Water Consumption: 1.5L/Kg
• R404a refrigerant
*Production/Power usage based on 10C ambient temp and 10C water temp","7,600.00","5,289.60"
IM0485HDM,BROMIC,BROMIC IM0485HDM,Ice Machine IM0485HDM Mod H/Dice 485kg/24hr SIMAG,"Bromics Modular 485kg Half-Dice Ice Machine is suited to high-volume applications where crystal-clear, general-purpose ice is required in bulk. Rapidly producing large slabs of slow-melting half-dice ice, this heavy-duty unit can comfortably keep up in peak-periods or produce a surplus to be sold on the side.
• Economical half-dice ice suits blending and general purpose use
• Hard, pure ice thats ready for consumption and cooling alike
• Suitable Storage Bins: SB178, SB243 and SB406
• 3 Year parts warranty
• 1 Year labour warranty
• Stainless steel colour
• Ice Machine Unit: Head only
• Max. Ambient Temp. (C / RH): 40C
• Ice production: 485kg/24hrs
• Energy Consumption: 13.9kwh/24hr
• Water Consumption: 1.4L/Kg
• R404a refrigerant
*Production/Power usage based on 10C ambient temp and 10C water temp","11,400.00","7,934.40"
IM0070FSC,BROMIC,BROMIC IM0070FSC,Ice Machine IM0070FSC S/C Flaker 70kg/24hr 25kg Ca,"Bromic IM0070FSC Self-Contained Flake Ice Machine 70Kg/24hrs
Ice Type: Flake
Ice Machine Unit: Self Contained
Storage Bin Capacity: 25kg
Maximum Daily Production: 70kg
Power Input: 1200W
Energy Consumption: 7.5Kwh/24h
Water Consumption: 2.2L/h
Colour: Stainless Steel
Max Ambient Temp. : 40°C / RH
Refrigerant: R134a

Dimension: 791H x 629D x 529W mm
Legs: 89mm
Weight: 51kg
Model Number: IM0070FSC
Brand: Bromic","8,600.00","5,985.60"
IM0120FSCW,BROMIC,BROMIC IM0120FSCW,Ice Machine IM0120FSCW Flake S/C 120kg/24hr 60kg C,"Bromic IM0120FSCW Self-Contained Flake Ice Machine 120Kg/24hrs
Ice Type: Flake
Ice Machine Unit: Self Contained
Internal Ice Storage Capacity: 60kg
Internal Ice Storage Capacity: 21-75kg
Ice Production: 120kg/24hrs
Refrigeration Power: 440W
Colour: Stainless Steel
Max Ambient Temp. : 40°C / RH

Dimension: 778H x 594D x 920W mm
Legs: 89mm
Weight: 67kg
Model Number: IM0120FSCW
Brand: Bromic","9,650.00","6,716.40"
DM31B,ROBAND,ROBAND DM31B,MILKSHAKE MIXER - BLACK,"DM31B Black Milkshake Mixer
Roband Spindle Drinks Mixer
Roband milkshake mixers are the ideal machine for making perfect thick shakes or milkshakes every time
The Saturn Beater produces extra fluffy shakes using minimal ingredients, time after time
The Universal Beater is stainless steel and has 2 blade options, ideal for making normal milkshakes through to thick shakes
Merging style, power and performance these mixers are a must for cafés and fast food outlets",528,453.56
DM31M,ROBAND,ROBAND DM31M,MILKSHAKE MIXER - Metallic,"DM31M Metallic Milkshake Mixer
Roband Spindle Drinks Mixer
Roband milkshake mixers are the ideal machine for making perfect thick shakes or milkshakes every time
The Saturn Beater produces extra fluffy shakes using minimal ingredients, time after time
The Universal Beater is stainless steel and has 2 blade options, ideal for making normal milkshakes through to thick shakes
Merging style, power and performance these mixers are a must for cafés and fast food outlets",528,453.56
DM31R,ROBAND,ROBAND DM31R,MILKSHAKE MIXER - RED,"DM31R Red Milkshake Mixer
Roband Spindle Drinks Mixer
Roband milkshake mixers are the ideal machine for making perfect thick shakes or milkshakes every time
The Saturn Beater produces extra fluffy shakes using minimal ingredients, time after time
The Universal Beater is stainless steel and has 2 blade options, ideal for making normal milkshakes through to thick shakes
Merging style, power and performance these mixers are a must for cafés and fast food outlets",528,453.56
DM31S,ROBAND,ROBAND DM31S,MILKSHAKE MIXER - SEASPRAY,"DM31S Seaspray Milkshake Mixer
Roband Spindle Drinks Mixer
Roband milkshake mixers are the ideal machine for making perfect thick shakes or milkshakes every time
The Saturn Beater produces extra fluffy shakes using minimal ingredients, time after time
The Universal Beater is stainless steel and has 2 blade options, ideal for making normal milkshakes through to thick shakes
Merging style, power and performance these mixers are a must for cafés and fast food outlets",528,453.56
DM31W,ROBAND,ROBAND DM31W,MILKSHAKE MIXER - WHITE,"Roband Milkshake Mixers are the ideal machine for making perfect thick-shakes or milkshakes every time. The Saturn Beater produces extra fluffy shakes using minimal ingredients, time after time. Merging style, power and performance these mixers are a must-have for cafes and fast food outlets. Available in five colours.


2 speed, 13,000 RPM motor, saturn and stainless steel beaters included
separate two speed on/off switch with protective cover, white - also available in Red, Black, Seaspray and Metallic
Takes standard 710ml cup, stainless steel cup inc.710ml
Power 150 Watts, 0.7 Amps 
Dimensions 205w x 220d x 482h mm",528,453.56
